date,sales,promo_flag
08/05/2025,491.08,0
2026-08-12,,0
2024-12-17,565.38,0
2025-10-25,601.92,0
2025-07-27,574.07,0
2024-02-25,638.02,0
2026-05-02,718.61,0
12/19/2023,533.51,0
2023-12-09,480.34,0
2023-10-29,437.0,0
2025-09-12,563.07,0
2026-04-24,721.51,0
2025-09-06,833.89,1
2025-07-12,588.76,0
01/13/2025,627.0,0
2026-06-20,685.67,0
2024-03-07,565.24,0
2026-01-04,765.61,0
2023-11-21,431.45,0
2025-07-22,521.79,0
2024-11-29,630.21,0
08/01/2026,622.16,0
2026-03-22,988.3,1
2024-07-02,416.66,0
2026-01-02,727.89,0
2026-04-06,718.52,0
2024-06-12,439.71,0
2026-02-22,767.5,0
10/02/2023,,0
2026-04-26,741.71,0
2024-06-30,672.79,1
2025-07-16,505.98,0
2024-03-01,517.95,0
2023-10-13,376.89,0
2026-04-09,705.19,0
07/08/2026,552.45,0
2024-11-24,575.44,0
2024-01-22,551.35,0
2023-08-18,332.68,0
2025-10-05,827.26,1
2023-10-21,453.12,0
2024-06-20,484.27,0
11/21/2025,688.88,0
2024-01-08,478.82,0
2024-02-29,532.93,0
2026-08-08,659.09,0
2024-08-14,366.62,0
2025-11-12,602.07,0
2026-03-24,677.86,0
07/12/2024,394.67,0
2024-10-28,483.19,0
2023-09-13,288.76,0
2026-01-18,785.91,0
2024-11-07,522.13,0
2024-08-07,436.01,0
2024-07-15,344.21,0
08/20/2023,376.31,0
2023-10-14,450.08,0
2023-11-25,485.64,0
2025-02-05,556.09,0
2024-10-26,613.72,0
2024-01-30,569.92,0
2026-04-19,670.95,0
10/07/2023,450.64,0
2024-08-19,364.72,0
2024-05-09,441.93,0
2023-11-08,402.54,0
2025-02-28,682.84,0
2023-12-15,539.46,0
2023-08-21,284.85,0
05/13/2026,696.51,0
2025-02-21,632.1,0
2026-01-09,742.82,0
2025-10-31,645.44,0
2026-05-12,673.92,0
2023-11-10,390.64,0
2024-12-27,598.32,0
12/04/2023,9.450000000000001,0
2025-12-29,722.14,0
2025-09-24,596.04,0
2024-08-06,371.9,0
2025-11-27,695.74,0
2025-11-02,660.3,0
2024-04-03,469.79,0
11/26/2024,574.25,0
2024-12-18,603.33,0
2025-06-07,,0
2024-03-10,569.37,0
2023-10-17,370.76,0
2023-09-20,3205.2999999999997,0
2025-08-19,556.29,0
08/05/2026,612.46,0
2025-07-13,548.81,0
2024-04-19,455.36,0
2026-03-29,755.97,0
2025-03-24,634.35,0
2025-06-04,571.99,0
2024-02-14,463.94,0
01/05/2026,706.32,0
2026-04-13,713.44,0
2026-03-26,689.47,0
2026-07-16,611.82,0
2024-09-07,503.92,0
2025-10-26,639.54,0
2025-11-15,769.23,0
12/17/2023,526.65,0
2024-02-03,580.43,0
2025-08-24,770.01,1
2024-10-08,472.16,0
2025-12-12,684.8,0
2025-06-08,554.02,0
2026-05-04,676.42,0
01/14/2025,646.5,0
2024-11-14,538.73,0
2026-03-20,729.52,0
2024-05-01,418.02,0
2025-06-02,512.25,0
2023-08-24,321.07,0
2024-05-12,497.81,0
02/24/2024,559.71,0
2024-12-07,654.17,0
2025-09-16,492.06,0
2024-03-23,557.48,0
2025-11-09,6981.4,0
2026-03-14,819.09,0
2023-10-26,407.81,0
09/23/2025,555.01,0
2025-04-05,622.55,0
2024-07-09,373.92,0
2024-11-15,514.67,0
2025-05-03,624.86,0
2023-12-24,562.42,0
2023-10-04,370.42,0
11/12/2023,487.94,0
2024-07-18,397.61,0
2025-03-07,630.46,0
2025-10-12,832.1,1
2023-11-06,402.01,0
2026-04-16,754.95,0
2025-02-02,627.77,0
03/04/2025,609.34,0
2023-12-26,528.13,0
2024-10-21,523.39,0
2025-10-19,639.73,0
2025-10-03,571.47,0
2024-01-12,545.5,0
2024-08-11,422.38,0
05/18/2025,615.34,0
2025-07-30,500.8,0
2026-07-11,676.22,0
2026-02-06,798.15,0
2024-06-09,458.12,0
2026-03-06,766.29,0
2024-04-11,485.9,0
09/14/2023,331.6,0
2025-05-05,541.57,0
2024-01-20,586.15,0
2024-04-14,554.31,0
2025-05-04,563.74,0
2024-03-17,545.24,0
2024-06-21,463.37,0
09/16/2023,380.88,0
2024-12-11,571.83,0
2026-06-14,653.7,0
2026-05-21,686.11,0
2026-03-09,720.51,0
2024-07-24,373.42,0
2024-02-15,585.76,0
03/25/2025,590.16,0
2024-09-16,427.76,0
2026-02-08,787.57,0
2026-02-18,722.28,0
2026-03-10,700.66,0
2023-08-27,381.44,0
2024-08-15,390.15,0
06/01/2026,645.66,0
2026-02-11,669.89,0
2024-01-10,509.56,0
2024-11-25,595.43,0
2024-09-03,404.04,0
2024-03-03,587.52,0
2025-02-04,611.84,0
10/01/2025,545.53,0
2025-07-19,571.47,0
2024-04-15,453.17,0
