CustomerID,Age,Gender,CityTier,AnnualIncome,MembershipYears,RecencyDays,Frequency,AvgOrderValue,TotalSpend,PreferredCategory,DiscountSensitivity,OnlineEngagementScore,CartAbandonRate,ReturnsRate,SupportTickets,ChurnRisk
CUST100000,40,Male,Tier 3,48295,0.0,6,5,52.99,283.97,Groceries,0.25,54.4,0.55,0.19,2,Medium
CUST100001,33,Female,Tier 2,48180,1.2,88,4,59.72,241.83,Electronics,0.35,63.4,0.22,0.1,1,Medium
CUST100002,42,Female,Tier 1,81641,0.9,45,5,77.3,436.66,Fashion,0.52,39.8,0.38,0.21,1,Medium
CUST100003,51,Female,Tier 2,59955,2.6,13,11,69.29,757.26,Sports,0.67,76.3,0.31,0.16,0,Low
CUST100004,32,Female,Tier 1,66290,3.2,36,8,40.2,327.51,Sports,0.19,71.1,0.23,0.16,1,Low
CUST100005,32,Female,Tier 1,82113,0.8,33,2,94.86,195.19,Beauty,0.24,49.0,0.1,0.25,1,Medium
CUST100006,52,Male,Tier 3,27431,3.7,47,7,41.03,279.45,Sports,0.92,70.0,0.63,0.13,0,Low
CUST100007,43,Male,Tier 1,96929,0.8,11,7,95.73,738.16,Beauty,0.07,64.7,0.24,0.08,0,Low
CUST100008,29,Female,Tier 2,58908,1.3,89,5,72.39,327.76,Electronics,0.42,65.7,0.2,0.1,1,Medium
CUST100009,40,Male,Tier 3,49593,2.9,16,8,39.82,323.8,Fashion,0.13,46.1,0.3,0.04,1,Low
CUST100010,29,Female,Tier 2,55993,2.6,53,7,95.6,713.82,Electronics,0.14,54.5,0.44,0.15,1,Low
CUST100011,29,Female,Tier 1,66923,9.6,1,21,74.23,1747.75,Electronics,0.64,91.0,0.49,0.15,0,Low
CUST100012,37,Male,Tier 1,39638,0.6,20,3,50.84,170.09,Electronics,0.42,21.9,0.37,0.05,0,Medium
CUST100013,18,Male,Tier 1,90108,2.4,19,5,80.61,404.11,Groceries,0.5,45.1,0.28,0.17,0,Medium
CUST100014,18,Female,Tier 2,53943,2.1,35,6,65.31,408.69,Beauty,0.21,48.7,0.26,0.06,0,Low
CUST100015,28,Male,Tier 1,75174,5.4,3,16,103.45,1602.68,Beauty,0.66,93.1,0.19,0.23,1,Low
CUST100016,23,Female,Tier 1,82327,0.4,70,6,104.14,618.87,Groceries,0.57,46.5,0.28,0.28,0,Medium
