CustomerID,Age,Gender,CityTier,AnnualIncome,MembershipYears,RecencyDays,Frequency,AvgOrderValue,TotalSpend,PreferredCategory,DiscountSensitivity,OnlineEngagementScore,CartAbandonRate,ReturnsRate,SupportTickets,ChurnRisk,Segment,PC1,PC2,SegmentName
CUST100000,40,Male,Tier 3,48295,0.0,6,5,52.99,283.97,Groceries,0.25,54.4,0.55,0.19,2,Medium,3,-1.5460030422127804,-0.4772950760440246,Budget-Conscious / New
CUST100001,33,Female,Tier 2,48180,1.2,88,4,59.72,241.83,Electronics,0.35,63.4,0.22,0.1,1,Medium,3,-1.4273888998655495,-0.3498677078758988,Budget-Conscious / New
CUST100002,42,Female,Tier 1,81641,0.9,45,5,77.3,436.66,Fashion,0.52,39.8,0.38,0.21,1,Medium,1,-0.717397552508459,1.3920054855393131,Mainstream Regulars
CUST100003,51,Female,Tier 2,59955,2.6,13,11,69.29,757.26,Sports,0.67,76.3,0.31,0.16,0,Low,2,1.407575194995527,-0.9856101318154274,Champions (High-Value Loyal)
CUST100004,32,Female,Tier 1,66290,3.2,36,8,40.2,327.51,Sports,0.19,71.1,0.23,0.16,1,Low,3,-0.0632258733181415,-1.2949419336800778,Budget-Conscious / New
CUST100005,32,Female,Tier 1,82113,0.8,33,2,94.86,195.19,Beauty,0.24,49.0,0.1,0.25,1,Medium,1,-1.0660413563334787,1.8587161173848263,Mainstream Regulars
CUST100006,52,Male,Tier 3,27431,3.7,47,7,41.03,279.45,Sports,0.92,70.0,0.63,0.13,0,Low,3,-0.8464479139872001,-2.335822125435449,Budget-Conscious / New
CUST100007,43,Male,Tier 1,96929,0.8,11,7,95.73,738.16,Beauty,0.07,64.7,0.24,0.08,0,Low,1,1.175570126278915,1.5985751569643336,Mainstream Regulars
CUST100008,29,Female,Tier 2,58908,1.3,89,5,72.39,327.76,Electronics,0.42,65.7,0.2,0.1,1,Medium,0,-0.7422509896019277,0.1539615713807662,At-Risk / Dormant
CUST100009,40,Male,Tier 3,49593,2.9,16,8,39.82,323.8,Fashion,0.13,46.1,0.3,0.04,1,Low,3,-0.9292771967814992,-1.2980978133162753,Budget-Conscious / New
CUST100010,29,Female,Tier 2,55993,2.6,53,7,95.6,713.82,Electronics,0.14,54.5,0.44,0.15,1,Low,1,0.4705914846991924,0.460921922067932,Mainstream Regulars
CUST100011,29,Female,Tier 1,66923,9.6,1,21,74.23,1747.75,Electronics,0.64,91.0,0.49,0.15,0,Low,2,6.175707600962494,-2.8017040524390984,Champions (High-Value Loyal)
CUST100012,37,Male,Tier 1,39638,0.6,20,3,50.84,170.09,Electronics,0.42,21.9,0.37,0.05,0,Medium,3,-2.859060522271325,-0.0389262465063441,Budget-Conscious / New
CUST100013,18,Male,Tier 1,90108,2.4,19,5,80.61,404.11,Groceries,0.5,45.1,0.28,0.17,0,Medium,1,-0.1523045192873086,1.2799079203736072,Mainstream Regulars
CUST100014,18,Female,Tier 2,53943,2.1,35,6,65.31,408.69,Beauty,0.21,48.7,0.26,0.06,0,Low,3,-0.7825594509063656,-0.2011383707651437,Budget-Conscious / New
CUST100015,28,Male,Tier 1,75174,5.4,3,16,103.45,1602.68,Beauty,0.66,93.1,0.19,0.23,1,Low,2,5.075640835940018,-0.7735724669465767,Champions (High-Value Loyal)
CUST100016,23,Female,Tier 1,82327,0.4,70,6,104.14,618.87,Groceries,0.57,46.5,0.28,0.28,0,Medium,1,0.0997429724132428,2.074017730446071,Mainstream Regulars
CUST100017,38,Male,Tier 3,37819,3.1,11,10,64.33,721.71,Sports,0.4,59.1,0.22,0.46,0,Low,3,0.4855510053572063,-1.4140409709610178,Budget-Conscious / New
CUST100018,25,Female,Tier 2,64522,1.8,50,4,81.96,370.2,Groceries,0.18,62.8,0.28,0.12,1,Medium,1,-0.4923135768700588,0.5027665993390268,Mainstream Regulars
CUST100019,19,Male,Tier 1,58782,0.7,73,4,63.61,284.62,Beauty,0.67,31.3,0.33,0.08,0,Medium,0,-1.940861214400225,0.7354331740500208,At-Risk / Dormant
CUST100020,51,Female,Tier 2,81641,1.4,37,6,66.28,354.54,Fashion,0.15,33.4,0.2,0.38,2,Low,1,-0.9032132122714146,1.0333625379057063,Mainstream Regulars
CUST100021,32,Male,Tier 2,20509,0.9,60,7,34.08,263.61,Fashion,0.44,53.7,0.61,0.12,1,Low,3,-1.9681411450445525,-1.889346302092057,Budget-Conscious / New
CUST100022,35,Female,Tier 1,68216,1.9,48,9,73.31,748.54,Beauty,0.1,45.8,0.64,0.09,1,Low,1,0.3902368589872677,0.3519843684720061,Mainstream Regulars
CUST100023,19,Male,Tier 1,52749,4.8,19,8,79.69,610.98,Fashion,0.76,47.2,0.17,0.08,1,Low,1,0.4660197275763026,-0.4620214637529868,Mainstream Regulars
CUST100024,29,Female,Tier 3,60380,1.9,74,7,74.96,527.66,Groceries,0.36,63.5,0.22,0.35,0,Medium,1,0.0052146591919698,0.0277643220835372,Mainstream Regulars
CUST100025,36,Female,Tier 2,68860,2.2,15,4,101.57,440.3,Fashion,0.13,67.0,0.34,0.27,2,Medium,1,0.1937254827358822,0.8812607266924082,Mainstream Regulars
CUST100026,22,Male,Tier 2,42062,1.6,38,6,73.01,446.22,Groceries,0.1,67.7,0.3,0.22,2,Low,3,-0.4576596671677817,-0.6251523871028069,Budget-Conscious / New
CUST100027,39,Male,Tier 1,58780,0.1,61,4,62.14,285.36,Sports,0.62,65.2,0.24,0.46,0,Medium,3,-1.2469778780535292,0.0819466954137529,Budget-Conscious / New
CUST100028,28,Male,Tier 1,65208,0.6,21,3,47.41,140.34,Electronics,0.28,68.8,0.37,0.12,0,Medium,3,-1.458069570912636,-0.3328741618664873,Budget-Conscious / New
CUST100029,31,Female,Tier 1,52260,1.5,16,9,84.33,807.68,Beauty,0.04,40.9,0.57,0.36,0,Low,1,0.2666148152249399,0.2501400472691147,Mainstream Regulars
CUST100030,28,Female,Tier 1,82355,0.8,27,6,109.02,711.54,Electronics,0.34,64.7,0.26,0.21,1,Low,1,0.9036432005161243,1.6510785444548552,Mainstream Regulars
CUST100031,55,Female,Tier 1,71354,0.4,76,5,58.97,294.33,Fashion,0.88,46.0,0.29,0.1,0,Medium,0,-1.3647774917513673,0.660210400995584,At-Risk / Dormant
CUST100032,34,Male,Tier 1,17274,1.5,119,8,57.03,505.1,Electronics,0.26,45.1,0.6,0.11,0,Medium,0,-1.4072418887957472,-1.1769729778717082,At-Risk / Dormant
CUST100033,23,Male,Tier 3,43453,0.9,35,5,61.94,313.99,Home & Furniture,0.86,63.2,0.3,0.4,1,Medium,3,-1.1569779400701743,-0.6131232711133667,Budget-Conscious / New
CUST100034,44,Female,Tier 3,39906,0.7,48,7,55.67,379.36,Electronics,0.72,38.4,0.57,0.06,0,Low,3,-1.5523203126575589,-0.4616232734833706,Budget-Conscious / New
CUST100035,21,Male,Tier 2,25037,1.4,105,6,65.09,344.59,Groceries,0.53,30.5,0.23,0.25,0,Medium,0,-2.045399444164407,-0.3458557384069635,At-Risk / Dormant
CUST100036,37,Female,Tier 3,33526,0.3,4,3,68.11,197.8,Fashion,0.2,63.2,0.31,0.02,0,Medium,3,-1.736599246434,-0.5920462114735044,Budget-Conscious / New
CUST100037,18,Male,Tier 1,65169,5.8,11,13,84.08,1169.75,Electronics,0.54,80.8,0.44,0.34,0,Low,2,3.3024839911008264,-1.174789280247798,Champions (High-Value Loyal)
CUST100038,20,Female,Tier 3,72915,4.4,55,1,87.86,98.96,Home & Furniture,0.35,48.1,0.19,0.05,0,Medium,1,-1.0438433035504626,0.9802837377159538,Mainstream Regulars
